model,horizon,season,crps,wql,mae,mase,n,skill_vs_clim
persistence,8,SWM,285.3172809548416,0.772696469807264,319.09431569299073,2.1526111675406847,302.0,-0.5152684096811466
persistence,8,inter,63.04566613584841,1.1514410861100646,70.37530584000801,0.4690523928492766,361.0,-2.052934116690519
persistence,13,NEM,310.3746199981874,1.0422106887610199,278.1844322786526,1.8614834713197697,231.0,-1.7307321576206647
persistence,13,SWM,302.1673545467834,0.7520742202769443,356.32463486384734,2.3976726371130814,296.0,-0.40605076912498594
persistence,13,inter,148.0086010468909,2.7438594152325138,136.1702177031283,0.9065585806163191,363.0,-6.467066326315635
seasonal_naive,1,NEM,159.93802684447618,0.5326300455132481,196.7283167270706,1.3067790572200848,225.0,-0.3973163199837275
seasonal_naive,1,SWM,300.9208919945079,0.759790175499657,360.0500098843441,2.41674771799597,305.0,-0.4412870674151719
seasonal_naive,1,inter,21.069372181779688,0.38814627175560046,25.139178374796973,0.16845732683845197,360.0,-0.0764158147198506
seasonal_naive,4,NEM,161.59640422935217,0.5157626723579171,206.69590247220256,1.3731007810478064,225.0,-0.3763079315911084
seasonal_naive,4,SWM,291.7879939489056,0.7931118700796149,353.95360115201976,2.3837597038496745,304.0,-0.5607200463440922
seasonal_naive,4,inter,23.606957371804715,0.4297154301628466,28.127556444007638,0.18794788186110828,361.0,-0.14953037571947614
seasonal_naive,8,NEM,171.57768957973022,0.5495850574798415,207.78703240968383,1.383032680308824,227.0,-0.4653958757295842
seasonal_naive,8,SWM,301.75856402259353,0.8172227646851569,361.1120570326212,2.43606297095528,302.0,-0.6025850866234492
seasonal_naive,8,inter,26.644639443062708,0.48662714599959445,28.885803779279104,0.19252428419775372,361.0,-0.29024457616747745
seasonal_naive,13,NEM,198.42071427542368,0.6662793152695621,213.27536071337403,1.4271415389989575,231.0,-0.7457414050579438
seasonal_naive,13,SWM,345.9083116361654,0.8609425202509939,403.7091982213953,2.716518599103208,296.0,-0.609587006353639
seasonal_naive,13,inter,32.477568739726735,0.6020858392015206,29.427567607988106,0.19591518888403442,363.0,-0.6385004532282825
timesfm_covariates,1,NEM,80.70597725321939,0.26876928011231144,100.38572747576113,0.6678848904986877,225.0,0.2949032737172739
timesfm_covariates,1,SWM,163.55585768910618,0.4129594758075851,205.8696463627321,1.3842230869512708,305.0,0.21663484072216765
timesfm_covariates,1,inter,10.891564953056845,0.2006476649441334,13.291194906137925,0.08921390020738122,360.0,0.4435594634064429
timesfm_covariates,4,NEM,101.23185675834154,0.32309885370551117,125.144372341196,0.8327759716725672,225.0,0.13781369052954862
timesfm_covariates,4,SWM,189.26243016728824,0.5144361078546478,225.7148235410035,1.522494345360391,304.0,-0.012329756218859567
timesfm_covariates,4,inter,13.250278834044583,0.24119369469229668,16.533017970964583,0.11066486139600061,361.0,0.3547835171389282
timesfm_covariates,8,NEM,107.72971300553898,0.3450719068397486,130.26727422054284,0.8685607655076374,227.0,0.07991139454940788
timesfm_covariates,8,SWM,198.09483169039754,0.5364805686566911,239.76597754806917,1.619988008978537,302.0,-0.0520457771678815
timesfm_covariates,8,inter,14.805052870756082,0.2703936242134038,18.692522681380275,0.12480133967364213,361.0,0.2830775883762512
timesfm_covariates,13,NEM,111.38475625995302,0.3740202196295622,133.74576491505815,0.8964654574684384,231.0,0.020016727561133596
timesfm_covariates,13,SWM,223.22081422152715,0.5555815917210463,269.04950531525003,1.8135243279283029,296.0,-0.0386952554541764
timesfm_covariates,13,inter,14.846801752175658,0.2752376313650287,18.07329873428978,0.12052007721691434,363.0,0.2509756011947415
timesfm_univariate,1,NEM,82.46604043436993,0.27463069125247763,100.92049159471922,0.6714427755089766,225.0,0.279526286419465
timesfm_univariate,1,SWM,169.2110581452064,0.42723819776187383,211.1581193109839,1.4197816380977042,305.0,0.18954876096547735
timesfm_univariate,1,inter,10.883736965011348,0.20050345540865258,13.445926751513788,0.09025249993522748,360.0,0.4439593884757289
timesfm_univariate,4,NEM,101.58518296083666,0.3242265549516003,124.3029331503326,0.827176596114039,225.0,0.13480443016108878
timesfm_univariate,4,SWM,191.20062116308023,0.5197043242210594,228.65918502606914,1.542354687899635,304.0,-0.022696781605469063
timesfm_univariate,4,inter,13.208548825186808,0.2404340869027543,16.59191174566607,0.11105907081535003,361.0,0.35681554151231687
timesfm_univariate,8,NEM,109.84900963166068,0.35186028218701476,133.00904768804293,0.8868416182853557,227.0,0.06181108941665214
timesfm_univariate,8,SWM,203.98672996711284,0.552437011896461,243.7537289502846,1.6469314040358327,302.0,-0.08333658192349858
timesfm_univariate,8,inter,14.77567904271345,0.2698571522473255,18.880589301423967,0.12605697362575316,361.0,0.2844999916478087
timesfm_univariate,13,NEM,116.02443687444205,0.389599859256301,140.2995905727617,0.9403941629503129,231.0,-0.020804023359635604
timesfm_univariate,13,SWM,225.48593484247775,0.5612193245839817,270.65074114645523,1.8243174350601616,296.0,-0.04923535696853554
timesfm_univariate,13,inter,15.086544469256395,0.27968210490806966,18.748611299891593,0.12502333496462517,363.0,0.23888052863118248
