reservoir,model,horizon,crps,wql,mae,n,skill_vs_clim
Parambikulam,climatology,8,0.0670535040136284,0.27622001195662144,0.09585522721165379,147.0,0.0
Parambikulam,climatology,13,0.06859884460018072,0.2758546180541958,0.09708878102374754,147.0,0.0
Parambikulam,persistence,1,0.009593483449824925,0.04048851779440333,0.011157787995465806,147.0,0.8378636360310374
Parambikulam,persistence,4,0.0341955605355475,0.14330063378321328,0.040424702093226066,147.0,0.4672771097841929
Parambikulam,persistence,8,0.06411692497804497,0.2641230767068907,0.07683601908921067,147.0,0.043794564934094726
Parambikulam,persistence,13,0.09213636773242921,0.37050540250153474,0.1137482819868293,147.0,-0.3431183610953483
Parambikulam,seasonal_naive,1,0.06351350711102423,0.26805359870575435,0.07418042845241975,147.0,-0.073421261396583
Parambikulam,seasonal_naive,4,0.06461553252591729,0.270779206955191,0.07318374220023155,147.0,-0.006626962709298745
Parambikulam,seasonal_naive,8,0.06816412787359011,0.2807951126973013,0.07545688099055643,147.0,-0.01656324865194181
Parambikulam,seasonal_naive,13,0.07484885875425619,0.3009876254299682,0.08064086763913361,147.0,-0.09110961256713357
Parambikulam,timesfm_covariates,1,0.005910532204862745,0.02494492116472525,0.007072127843254547,147.0,0.900108004998394
Parambikulam,timesfm_covariates,4,0.018478838950628355,0.07743781039793894,0.0228444397280546,147.0,0.7121234353395706
Parambikulam,timesfm_covariates,8,0.033300444853188685,0.13717775693928055,0.04117773853462029,147.0,0.503375023527175
Parambikulam,timesfm_covariates,13,0.04683548455652166,0.18833822608855472,0.05749318501260546,147.0,0.3172554898045866
Parambikulam,timesfm_univariate,1,0.006140120018576758,0.02591387788722917,0.007457762479241472,147.0,0.8962278155425137
Parambikulam,timesfm_univariate,4,0.019091461401302287,0.08000507889936151,0.023585235665579768,147.0,0.7025795648071707
Parambikulam,timesfm_univariate,8,0.03409862257083317,0.14046576793817567,0.042416764850789455,147.0,0.49147142908590224
Parambikulam,timesfm_univariate,13,0.04879296754982406,0.19620979778356248,0.05958066774720778,147.0,0.288720271686682
Sholayar,climatology,1,0.019453261724230442,0.2963704910916907,0.025561337656807535,147.0,0.0
Sholayar,climatology,4,0.021601108208253214,0.324342068396509,0.02802454426002731,147.0,0.0
Sholayar,climatology,8,0.02205302295167839,0.33233834372819965,0.028562124914547567,147.0,0.0
Sholayar,climatology,13,0.020887194911119206,0.3235015226667358,0.027142931232595913,147.0,0.0
Sholayar,persistence,1,0.005010794456007903,0.0763394660874194,0.005634920634920635,147.0,0.7424188022018643
Sholayar,persistence,4,0.018336999837048437,0.27533126532195096,0.021122448979591837,147.0,0.15110837553962375
Sholayar,persistence,8,0.03330253170071602,0.5018680772981963,0.04023197012424296,147.0,-0.5101118687305164
Sholayar,persistence,13,0.047886796226648244,0.7416721853208542,0.062693940310972,147.0,-1.2926389316717644
Sholayar,seasonal_naive,1,0.028354727728553717,0.4319843479623509,0.033265049427135415,147.0,-0.4575821849574899
Sholayar,seasonal_naive,4,0.02938653991895785,0.44124084044399686,0.034656462585034006,147.0,-0.360418161681632
Sholayar,seasonal_naive,8,0.028906295558647255,0.4356169406039414,0.03441728192590755,147.0,-0.3107634097141898
Sholayar,seasonal_naive,13,0.028261804125781657,0.43771969893057816,0.03231528081986379,147.0,-0.3530684348014874
Sholayar,timesfm_covariates,1,0.0031772269100911912,0.04840505993298725,0.0037169964585512397,147.0,0.8366738208156771
Sholayar,timesfm_covariates,4,0.009528122558412637,0.14306539038354718,0.012600233255532863,147.0,0.5589058456374848
Sholayar,timesfm_covariates,8,0.01688246102685906,0.25441814249303213,0.022660888788786603,147.0,0.234460460869643
Sholayar,timesfm_covariates,13,0.02125754277999364,0.32923748194738967,0.02908295329900421,147.0,-0.017730857132820743
Sholayar,timesfm_univariate,1,0.003140131490368421,0.047839911120600896,0.0037065255237815065,147.0,0.8385807205556094
Sholayar,timesfm_univariate,4,0.010171240128454736,0.15272184323210494,0.013004946038363472,147.0,0.529133411564108
Sholayar,timesfm_univariate,8,0.018360314814231653,0.2766893513447181,0.023847491134321337,147.0,0.16744680062855943
Sholayar,timesfm_univariate,13,0.023864475914998115,0.36961374320472884,0.03173049108351574,147.0,-0.14254096907450053
Vaigai,climatology,1,0.03635649216498605,0.3764371958292366,0.0476242032931952,147.0,0.0
Vaigai,climatology,4,0.038917378798808,0.3972355988953669,0.050030370131568046,147.0,0.0
Vaigai,climatology,8,0.04049659720369031,0.4069036082667447,0.05168443545369248,147.0,0.0
